1.000329 0.001647 0.0
0.990580 0.005487 0.0
0.980808 0.009256 0.0
0.971014 0.012955 0.0
0.961198 0.016585 0.0
0.951361 0.020144 0.0
0.941504 0.023635 0.0
0.931625 0.027056 0.0
0.921726 0.030409 0.0
0.911807 0.033693 0.0
0.901869 0.036908 0.0
0.891910 0.040054 0.0
0.881933 0.043133 0.0
0.871937 0.046143 0.0
0.861922 0.049084 0.0
0.851888 0.051958 0.0
0.841837 0.054763 0.0
0.831767 0.057500 0.0
0.821680 0.060169 0.0
0.811576 0.062770 0.0
0.801454 0.065302 0.0
0.791316 0.067766 0.0
0.781161 0.070162 0.0
0.770990 0.072488 0.0
0.760802 0.074746 0.0
0.750599 0.076935 0.0
0.740380 0.079055 0.0
0.730146 0.081105 0.0
0.719897 0.083085 0.0
0.709633 0.084996 0.0
0.699354 0.086836 0.0
0.689062 0.088605 0.0
0.678755 0.090304 0.0
0.668435 0.091930 0.0
0.658101 0.093486 0.0
0.647754 0.094968 0.0
0.637395 0.096379 0.0
0.627023 0.097716 0.0
0.616639 0.098979 0.0
0.606243 0.100168 0.0
0.595905 0.101284 0.0
0.585663 0.102349 0.0
0.575416 0.103368 0.0
0.565165 0.104339 0.0
0.554909 0.105263 0.0
0.544649 0.106138 0.0
0.534385 0.106965 0.0
0.524117 0.107741 0.0
0.513845 0.108467 0.0
0.503571 0.109141 0.0
0.493292 0.109763 0.0
0.483011 0.110331 0.0
0.472727 0.110845 0.0
0.462441 0.111304 0.0
0.452152 0.111706 0.0
0.441861 0.112051 0.0
0.431568 0.112337 0.0
0.421274 0.112563 0.0
0.410979 0.112728 0.0
0.400683 0.112830 0.0
0.390387 0.112868 0.0
0.380090 0.112840 0.0
0.369794 0.112745 0.0
0.359498 0.112582 0.0
0.349203 0.112347 0.0
0.338910 0.112041 0.0
0.328619 0.111659 0.0
0.318330 0.111202 0.0
0.308044 0.110665 0.0
0.297761 0.110047 0.0
0.287482 0.109346 0.0
0.277208 0.108558 0.0
0.266939 0.107682 0.0
0.256677 0.106713 0.0
0.246420 0.105648 0.0
0.236171 0.104485 0.0
0.225931 0.103218 0.0
0.215699 0.101845 0.0
0.205478 0.100359 0.0
0.195267 0.098757 0.0
0.185069 0.097033 0.0
0.174885 0.095179 0.0
0.164715 0.093190 0.0
0.154562 0.091057 0.0
0.144427 0.088772 0.0
0.134312 0.086323 0.0
0.124220 0.083699 0.0
0.114152 0.080885 0.0
0.104112 0.077864 0.0
0.094104 0.074616 0.0
0.084131 0.071113 0.0
0.074200 0.067323 0.0
0.064317 0.063201 0.0
0.054491 0.058688 0.0
0.044736 0.053699 0.0
0.035070 0.048102 0.0
0.025525 0.041677 0.0
0.016163 0.033999 0.0
0.007134 0.023967 0.0
0.000000 0.000000 0.0
0.013068 -0.021296 0.0
0.024241 -0.028703 0.0
0.035081 -0.033801 0.0
0.045738 -0.037690 0.0
0.056275 -0.040797 0.0
0.066721 -0.043343 0.0
0.077097 -0.045457 0.0
0.087416 -0.047225 0.0
0.097687 -0.048707 0.0
0.107916 -0.049947 0.0
0.118110 -0.050978 0.0
0.128272 -0.051827 0.0
0.138407 -0.052514 0.0
0.148516 -0.053057 0.0
0.158603 -0.053469 0.0
0.168670 -0.053764 0.0
0.178719 -0.053951 0.0
0.188752 -0.054041 0.0
0.198769 -0.054039 0.0
0.208773 -0.053955 0.0
0.218765 -0.053793 0.0
0.228745 -0.053560 0.0
0.238716 -0.053260 0.0
0.248677 -0.052898 0.0
0.258630 -0.052479 0.0
0.268576 -0.052006 0.0
0.278515 -0.051483 0.0
0.288448 -0.050913 0.0
0.298376 -0.050300 0.0
0.308300 -0.049645 0.0
0.318219 -0.048952 0.0
0.328135 -0.048224 0.0
0.338048 -0.047462 0.0
0.347959 -0.046669 0.0
0.357867 -0.045846 0.0
0.367775 -0.044997 0.0
0.377681 -0.044122 0.0
0.387587 -0.043224 0.0
0.397492 -0.042304 0.0
0.407398 -0.041363 0.0
0.417304 -0.040404 0.0
0.427211 -0.039428 0.0
0.437119 -0.038435 0.0
0.447028 -0.037428 0.0
0.456939 -0.036408 0.0
0.466852 -0.035375 0.0
0.476768 -0.034331 0.0
0.486686 -0.033278 0.0
0.496607 -0.032215 0.0
0.506531 -0.031144 0.0
0.516458 -0.030067 0.0
0.526388 -0.028983 0.0
0.536322 -0.027893 0.0
0.546260 -0.026800 0.0
0.556202 -0.025702 0.0
0.566149 -0.024601 0.0
0.576099 -0.023498 0.0
0.586055 -0.022393 0.0
0.596015 -0.021287 0.0
0.605878 -0.020186 0.0
0.615684 -0.019109 0.0
0.625502 -0.018060 0.0
0.635333 -0.017040 0.0
0.645175 -0.016048 0.0
0.655030 -0.015085 0.0
0.664899 -0.014153 0.0
0.674780 -0.013250 0.0
0.684676 -0.012378 0.0
0.694585 -0.011537 0.0
0.704508 -0.010728 0.0
0.714446 -0.009950 0.0
0.724399 -0.009204 0.0
0.734367 -0.008491 0.0
0.744350 -0.007810 0.0
0.754349 -0.007161 0.0
0.764364 -0.006546 0.0
0.774394 -0.005964 0.0
0.784441 -0.005415 0.0
0.794505 -0.004900 0.0
0.804586 -0.004419 0.0
0.814683 -0.003971 0.0
0.824798 -0.003557 0.0
0.834931 -0.003177 0.0
0.845081 -0.002830 0.0
0.855250 -0.002518 0.0
0.865437 -0.002239 0.0
0.875643 -0.001994 0.0
0.885867 -0.001783 0.0
0.896111 -0.001605 0.0
0.906374 -0.001461 0.0
0.916658 -0.001351 0.0
0.926961 -0.001273 0.0
0.937284 -0.001229 0.0
0.947628 -0.001218 0.0
0.957994 -0.001239 0.0
0.968380 -0.001293 0.0
0.978788 -0.001379 0.0
0.989218 -0.001498 0.0
0.999671 -0.001647 0.0
